theme,sub_theme,topic,geography_type,geography,geography_code,metric,metric_group,stratum,sex,age,year,month,epiweek,date,metric_value,in_reporting_delay_period
infectious_disease,respiratory,Influenza,UKHSA Region,East Midlands,E45000016,influenza_healthcare_ICUHDUadmissionRateByWeek,healthcare,default,all,all,2020,9,40,2020-09-28,0.0,False
infectious_disease,respiratory,Influenza,UKHSA Region,East Midlands,E45000016,influenza_healthcare_ICUHDUadmissionRateByWeek,healthcare,default,all,all,2020,10,41,2020-10-05,0.0,False
infectious_disease,respiratory,Influenza,UKHSA Region,East Midlands,E45000016,influenza_healthcare_ICUHDUadmissionRateByWeek,healthcare,default,all,all,2020,10,42,2020-10-12,0.0,False
infectious_disease,respiratory,Influenza,UKHSA Region,East Midlands,E45000016,influenza_healthcare_ICUHDUadmissionRateByWeek,healthcare,default,all,all,2020,10,43,2020-10-19,0.0,False
infectious_disease,respiratory,Influenza,UKHSA Region,East Midlands,E45000016,influenza_healthcare_ICUHDUadmissionRateByWeek,healthcare,default,all,all,2020,10,44,2020-10-26,0.0,False
infectious_disease,respiratory,Influenza,UKHSA Region,East Midlands,E45000016,influenza_healthcare_ICUHDUadmissionRateByWeek,healthcare,default,all,all,2020,11,45,2020-11-02,0.0,False
infectious_disease,respiratory,Influenza,UKHSA Region,East Midlands,E45000016,influenza_healthcare_ICUHDUadmissionRateByWeek,healthcare,default,all,all,2020,11,46,2020-11-09,0.0,False
infectious_disease,respiratory,Influenza,UKHSA Region,East Midlands,E45000016,influenza_healthcare_ICUHDUadmissionRateByWeek,healthcare,default,all,all,2020,11,47,2020-11-16,0.0,False
infectious_disease,respiratory,Influenza,UKHSA Region,East Midlands,E45000016,influenza_healthcare_ICUHDUadmissionRateByWeek,healthcare,default,all,all,2020,11,48,2020-11-23,0.0,False
infectious_disease,respiratory,Influenza,UKHSA Region,East Midlands,E45000016,influenza_healthcare_ICUHDUadmissionRateByWeek,healthcare,default,all,all,2020,11,49,2020-11-30,0.0,False
infectious_disease,respiratory,Influenza,UKHSA Region,East Midlands,E45000016,influenza_healthcare_ICUHDUadmissionRateByWeek,healthcare,default,all,all,2020,12,50,2020-12-07,0.0,False
infectious_disease,respiratory,Influenza,UKHSA Region,East Midlands,E45000016,influenza_healthcare_ICUHDUadmissionRateByWeek,healthcare,default,all,all,2020,12,51,2020-12-14,0.0,False
infectious_disease,respiratory,Influenza,UKHSA Region,East Midlands,E45000016,influenza_healthcare_ICUHDUadmissionRateByWeek,healthcare,default,all,all,2020,12,52,2020-12-21,0.0,False
infectious_disease,respiratory,Influenza,UKHSA Region,East Midlands,E45000016,influenza_healthcare_ICUHDUadmissionRateByWeek,healthcare,default,all,all,2020,12,52,2020-12-28,0.0,False
infectious_disease,respiratory,Influenza,UKHSA Region,East Midlands,E45000016,influenza_healthcare_ICUHDUadmissionRateByWeek,healthcare,default,all,all,2021,1,1,2021-01-04,0.0,False
infectious_disease,respiratory,Influenza,UKHSA Region,East Midlands,E45000016,influenza_healthcare_ICUHDUadmissionRateByWeek,healthcare,default,all,all,2021,1,2,2021-01-11,0.0,False
infectious_disease,respiratory,Influenza,UKHSA Region,East Midlands,E45000016,influenza_healthcare_ICUHDUadmissionRateByWeek,healthcare,default,all,all,2021,1,3,2021-01-18,0.0,False
